# time,Reactant,B,C,D,E,Product,Reactant,B,C,C2,D,E,Product,Reactant,B,C,D,E,Product
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000100000008e+00,1.000000000000000036e-10,1.000000000000000036e-10,0.000000000000000000e+00,1.000000000000000036e-10,1.000000000000000036e-10,1.000000000000000036e-10,1.000000000100000008e+00,1.000000000000000036e-10,1.000000000000000036e-10,1.000000000000000036e-10,1.000000000000000036e-10,1.000000000000000036e-10
5.000000000000000000e+00,6.703197587148637115e-01,2.681293785006838015e-01,1.536742079104427665e-02,4.230654549365643613e-02,3.728612537958908828e-03,1.482839617929560449e-04,6.703197588148636088e-01,2.681293786006837543e-01,1.459670644387018115e-02,7.707144471740929280e-04,4.230654559365643053e-02,3.728612637958908429e-03,1.482840617929560248e-04,6.703197588148636088e-01,2.681293786006837543e-01,1.536742089104427451e-02,4.230654559365643053e-02,3.728612637958908429e-03,1.482840617929560248e-04
1.000000000000000000e+01,4.493271929916206608e-01,3.594714001929006919e-01,4.753530229160606024e-02,1.194746667384000843e-01,2.230484249900839891e-02,1.886595286464030040e-03,4.493271930916206691e-01,3.594714002929007002e-01,4.276568745280859979e-02,4.769614938797458320e-03,1.194746668384000787e-01,2.230484259900840024e-02,1.886595386464030074e-03,4.493271930916206691e-01,3.594714002929007002e-01,4.753530239160606158e-02,1.194746668384000787e-01,2.230484259900840024e-02,1.886595386464030074e-03
1.500000000000000000e+01,3.011884054711357894e-01,3.614581816672334802e-01,8.323864538253615553e-02,1.900299862130578332e-01,5.645922449300828927e-02,7.625556773028520016e-03,3.011884055711357422e-01,3.614581817672334330e-01,7.073812400572737635e-02,1.250052147680875796e-02,1.900299863130577860e-01,5.645922459300827673e-02,7.625556873028517882e-03,3.011884055711357422e-01,3.614581817672334330e-01,8.323864548253613604e-02,1.900299863130577860e-01,5.645922459300827673e-02,7.625556873028517882e-03
2.000000000000000000e+01,2.018953123497831126e-01,3.230360954565238418e-01,1.159062423415390952e-01,2.391747702037470280e-01,1.006599788690413499e-01,1.932760077936554119e-02,2.018953124497831209e-01,3.230360955565238501e-01,9.281198240417629086e-02,2.309426003736280222e-02,2.391747703037470363e-01,1.006599789690413443e-01,1.932760087936554252e-02,2.018953124497831209e-01,3.230360955565238501e-01,1.159062424415390896e-01,2.391747703037470363e-01,1.006599789690413443e-01,1.932760087936554252e-02
2.500000000000000000e+01,1.353309881453446939e-01,2.706845672044740914e-01,1.427238802646561555e-01,2.648872024626401922e-01,1.483741543664861551e-01,3.799920755639867725e-02,1.353309882453447022e-01,2.706845673044740996e-01,1.074288824335144221e-01,3.529499793114174166e-02,2.648872025626402005e-01,1.483741544664861634e-01,3.799920765639867859e-02,1.353309882453447022e-01,2.706845673044740996e-01,1.427238803646561638e-01,2.648872025626402005e-01,1.483741544664861634e-01,3.799920765639867859e-02
3.000000000000000000e+01,9.070752050912808673e-02,2.177495887951025333e-01,1.629523535796190969e-01,2.707423962519927563e-01,1.941073425082354142e-01,6.374079835592222354e-02,9.070752060912806725e-02,2.177495888951025138e-01,1.150517384584461289e-01,4.790061522117292081e-02,2.707423963519927090e-01,1.941073426082353948e-01,6.374079845592220406e-02,9.070752060912806725e-02,2.177495888951025138e-01,1.629523536796190775e-01,2.707423963519927090e-01,1.941073426082353948e-01,6.374079845592220406e-02
3.500000000000000000e+01,6.081053389023577394e-02,1.702580747263179040e-01,1.768986732369015880e-01,2.619528399586483758e-01,2.341335306131190064e-01,9.594634757477743525e-02,6.081053399023576833e-02,1.702580748263178845e-01,1.169381274203097759e-01,5.996054591659179256e-02,2.619528400586483285e-01,2.341335307131189869e-01,9.594634767477741577e-02,6.081053399023576833e-02,1.702580748263178845e-01,1.768986733369015685e-01,2.619528400586483285e-01,2.341335307131189869e-01,9.594634767477741577e-02
4.000000000000000000e+01,4.076379306172347311e-02,1.304161560704943101e-01,1.853196646287919302e-01,2.435430333021161575e-01,2.663657455031622212e-01,1.335916074337119841e-01,4.076379316172346751e-02,1.304161561704942907e-01,1.145088328408952194e-01,7.081083188789667748e-02,2.435430334021161103e-01,2.663657456031621740e-01,1.335916075337119646e-01,4.076379316172346751e-02,1.304161561704942907e-01,1.853196647287919108e-01,2.435430334021161103e-01,2.663657456031621740e-01,1.335916075337119646e-01
4.500000000000000000e+01,2.731824834051367959e-02,9.836920552429909148e-02,1.891349079470546479e-01,2.196820484250076311e-01,2.900620773112022044e-01,1.754335124519226519e-01,2.731824844051368092e-02,9.836920562429908588e-02,1.090821716980851924e-01,8.005273634896944990e-02,2.196820485250076394e-01,2.900620774112022127e-01,1.754335125519226601e-01,2.731824844051368092e-02,9.836920562429908588e-02,1.891349080470546562e-01,2.196820485250076394e-01,2.900620774112022127e-01,1.754335125519226601e-01
