# time,Reactant,B,C,D,E,Product,Reactant,B,C,C2,D,E,Product,Reactant,B,C,D,E,Product
0.000000000000000000e+00,8.695458163117406603e-01,2.921188806788738851e-02,4.428442788536821051e-02,0.000000000000000000e+00,3.217778949414262096e-02,2.478007824086108160e-02,9.028844303135825644e-01,2.531311580881500170e-02,5.082470152694646554e-02,0.000000000000000000e+00,3.010613831150310560e-09,1.854468222035636493e-02,3.835589712297637899e-03,9.028844303135825644e-01,2.531311580881500170e-02,5.082470152694646554e-02,3.010613831150310560e-09,1.854468222035636493e-02,3.835589712297637899e-03
5.000000000000000000e+00,6.359699448533489008e-01,2.263826092407057178e-01,5.942666940856068669e-02,3.870531794080187687e-02,3.951545855658287337e-02,0.000000000000000000e+00,6.178900724538888278e-01,2.500138498889967753e-01,5.882516262990869493e-02,5.647139689333839814e-03,4.416349814276985392e-02,1.841553314680966988e-02,6.447266640904336654e-03,6.178900724538888278e-01,2.500138498889967753e-01,6.447230231924253041e-02,4.416349814276985392e-02,1.841553314680966988e-02,6.447266640904336654e-03
1.000000000000000000e+01,4.670781640052875661e-01,3.275777512837238503e-01,8.673846419580237554e-02,1.002095959432975497e-01,1.629860020375004104e-02,2.097424368138714901e-03,4.238988001139878392e-01,3.244785072978658702e-01,7.882231493052085924e-02,1.233229672350311633e-02,1.172360437589723969e-01,3.444687132871110391e-02,1.018768843905054622e-02,4.238988001139878392e-01,3.244785072978658702e-01,9.115461165402397037e-02,1.172360437589723969e-01,3.444687132871110391e-02,1.018768843905054622e-02
1.500000000000000000e+01,2.837912495662126000e-01,3.463313501517018000e-01,1.083777505965866084e-01,1.985633614513323819e-01,4.250152452822505977e-02,2.043476370594154296e-02,2.918511920287042427e-01,3.235337652100861994e-01,9.958056016652065690e-02,2.053694482813290395e-02,1.820672524941927550e-01,6.626434973259620609e-02,1.756845813237878362e-02,2.918511920287042427e-01,3.235337652100861994e-01,1.201175049946535539e-01,1.820672524941927550e-01,6.626434973259620609e-02,1.756845813237878362e-02
2.000000000000000000e+01,1.596261971756833820e-01,2.885735420816745722e-01,1.619028038657078228e-01,2.155796741001383132e-01,1.181989539544323620e-01,5.611882882236361031e-02,2.019578462160067367e-01,2.889710119614930517e-01,1.162328865293101171e-01,2.987954112741165319e-02,2.259268219714695713e-01,1.079000772774953293e-01,3.053433750942524672e-02,2.019578462160067367e-01,2.889710119614930517e-01,1.461124276567217772e-01,2.259268219714695713e-01,1.079000772774953293e-01,3.053433750942524672e-02
2.500000000000000000e+01,1.430318583656281506e-01,2.345988301827701128e-01,1.753652303399222123e-01,2.654747980383580508e-01,1.460549373734251755e-01,3.547434569989613151e-02,1.407884115417191440e-01,2.429944643560145723e-01,1.273202500421681538e-01,3.969480827429505004e-02,2.479319338849240995e-01,1.526182492388825085e-01,5.005440525460819190e-02,1.407884115417191440e-01,2.429944643560145723e-01,1.670150583164632108e-01,2.479319338849240995e-01,1.526182492388825085e-01,5.005440525460819190e-02
3.000000000000000000e+01,1.143236204560043046e-01,1.721100079416015283e-01,1.767751268910155160e-01,2.307823293620728244e-01,2.004796121598804437e-01,1.055293031894253691e-01,9.913069157738783888e-02,1.970939452578583662e-01,1.329349951810898656e-01,4.934776512386959690e-02,2.515808962431576035e-01,1.951511755539649395e-01,7.616305365528355797e-02,9.913069157738783888e-02,1.970939452578583662e-01,1.822827603049594625e-01,2.515808962431576035e-01,1.951511755539649395e-01,7.616305365528355797e-02
3.500000000000000000e+01,7.536637594134859564e-02,1.797713062348820223e-01,1.863866179186205174e-01,2.587190830074538872e-01,2.315190032373892759e-01,6.823761366030584030e-02,7.079926687240101213e-02,1.560666724695573271e-01,1.339760188696629273e-01,5.830934483203961682e-02,2.421554108443649267e-01,2.318533685446690917e-01,1.082424401599168945e-01,7.079926687240101213e-02,1.560666724695573271e-01,1.922853637017025441e-01,2.421554108443649267e-01,2.318533685446690917e-01,1.082424401599168945e-01
4.000000000000000000e+01,6.624275487403499807e-02,1.355268917391422023e-01,2.066905984777614447e-01,2.403819972948144645e-01,2.405027532056120132e-01,1.106550044086347939e-01,5.148590996959843263e-02,1.218912449025314482e-01,1.314319006540711487e-01,6.622986431870919732e-02,2.241955790575992369e-01,2.609022715614524035e-01,1.452657521286499220e-01,5.148590996959843263e-02,1.218912449025314482e-01,1.976617649727803461e-01,2.241955790575992369e-01,2.609022715614524035e-01,1.452657521286499220e-01
4.500000000000000000e+01,0.000000000000000000e+00,9.093987301179488891e-02,2.112746547118611318e-01,2.077660800324577228e-01,2.892670506527530438e-01,2.007523415911332543e-01,3.837981384521287065e-02,9.430351452065924289e-02,1.263650345005518094e-01,7.289000701322902176e-02,2.017966278467030750e-01,2.816585304317262839e-01,1.860089944345294233e-01,3.837981384521287065e-02,9.430351452065924289e-02,1.992550415137808451e-01,2.017966278467030750e-01,2.816585304317262839e-01,1.860089944345294233e-01
